run_name,mix,version,state,run_progress,hidden_size,params,tokens,tflops,batch_size,num_train_steps,train_seq_len,learning_rate,adam_lr,beta1,beta2,epsilon,max_grad_norm,z_loss_weight,initializer_range,eval_loss,eval_loss_cds,eval_loss_upstream,eval_loss_downstream,lm_eval/traitgym_mendelian_v2_255/auprc,lm_eval/traitgym_mendelian_v2_255/3_prime_UTR_variant/auprc,lm_eval/traitgym_mendelian_v2_255/5_prime_UTR_variant/auprc,lm_eval/traitgym_mendelian_v2_255/distal/auprc,lm_eval/traitgym_mendelian_v2_255/missense_variant/auprc,lm_eval/traitgym_mendelian_v2_255/non_coding_transcript_exon_variant/auprc,lm_eval/traitgym_mendelian_v2_255/splicing/auprc,lm_eval/traitgym_mendelian_v2_255/synonymous_variant/auprc,lm_eval/traitgym_mendelian_v2_255/tss_proximal/auprc
dna-bolinas-mix-v0.9-p1B-i1-cds_only,cds_only,v0.9,crashed,0.6972718975017748,1920,1120767360,62035853312,295745871,8192,29581,256,0.004200045471266273,0.004243597907163894,0.6675603345321236,0.9522221316809824,7.0447627816414105e-15,0.9951880136348764,4.312883184368223e-06,0.02,1.1174170970916748,0.5675666332244873,1.0858137607574463,1.1452395915985107,0.44682869329936376,0.1672659635006413,0.12447060852310318,0.13140946316742713,0.5762772819939027,0.14001761064938617,0.4765457580945019,0.3707234229551562,0.11977925099025308
dna-bolinas-mix-v0.9-p1B-i4-cont_upstream_to_cds_2,cont_upstream_to_cds_2,v0.9,finished,0.9996003197442046,1920,1120767360,5247074304,35873184,8192,2502,256,0.008811942529824708,0.014591401225808005,0.6675603345321236,0.9522221316809824,2.0488190362255035e-15,0.9951880136348764,4.312883184368223e-06,0.02,1.1903420686721802,1.0299142599105835,0.8717474937438965,1.2097071409225464,0.358403054131233,0.13341863414689592,0.5326331388825111,0.12841290037744013,0.35942214547390616,0.21413929251095556,0.3819535357203984,0.30225505806277464,0.43275793675912777
dna-bolinas-mix-v0.9-p1B-i5-cont_upstream_to_cds_2.1,cont_upstream_to_cds_2.1,v0.9,finished,0.9996003197442046,1920,1120767360,5247074304,35873184,8192,2502,256,0.008811942529824708,0.014591401225808005,0.6675603345321236,0.9522221316809824,2.0488190362255035e-15,0.9951880136348764,4.312883184368223e-06,0.02,1.1900197267532349,1.0287351608276367,0.871953010559082,1.2096149921417236,0.36991642807475744,0.12796622081990816,0.584278686150864,0.15027914239278525,0.3638452657299635,0.2045809842375444,0.3739778517564989,0.3098402799796346,0.47758799248151135
dna-bolinas-mix-v0.9-p1B-i6-cont_upstream_to_cds_2.2,cont_upstream_to_cds_2.2,v0.9,finished,0.9996003197442046,1920,1120767360,5247074304,35873184,8192,2502,256,0.008811942529824708,0.014591401225808005,0.6675603345321236,0.9522221316809824,2.0488190362255035e-15,0.9951880136348764,4.312883184368223e-06,0.02,1.1831777095794678,1.131104588508606,1.063439965248108,0.8105931282043457,0.281157212305053,0.4674967174682751,0.35599309861808587,0.13489321554214267,0.29488243877587583,0.1797887084566363,0.2901477601064896,0.33951759451976055,0.15511234809287894
dna-bolinas-mix-v0.9-p1B-i5-cont_upstream_to_cds_3,cont_upstream_to_cds_3,v0.9,finished,0.9996001599360256,1920,1120767360,5244977152,35858846,8192,2501,256,0.0088129993922354,0.014594318047671384,0.6675603345321236,0.9522221316809824,2.04840955904819e-15,0.9951880136348764,4.312883184368223e-06,0.02,1.2037955522537231,1.1374257802963257,0.8715193271636963,1.152880072593689,0.25214213501613,0.1616800256200422,0.4737164052684531,0.1358877465120984,0.2045856881183139,0.20788504514758577,0.3178077335887869,0.24597617302221844,0.44716644613843687
dna-bolinas-mix-v0.9-p1B-i7-cont_upstream_to_downstream_1,cont_upstream_to_downstream_1,v0.9,finished,0.9996003197442046,1920,1120767360,5247074304,35873184,8192,2502,256,0.008811942529824708,0.014591401225808005,0.6675603345321236,0.9522221316809824,2.0488190362255035e-15,0.9951880136348764,4.312883184368223e-06,0.02,1.207168698310852,1.2180655002593994,0.879716157913208,1.0200073719024658,0.21319602868442183,0.23967203100272155,0.5458819708053858,0.12684358440685695,0.13729745386451175,0.1967965110873815,0.2278022833908827,0.2764431737353018,0.44083590806024264
dna-bolinas-mix-v0.9-p1B-i3-downstream_only,downstream_only,v0.9,finished,0.9996003197442046,1920,1120767360,5247074304,35873184,8192,2502,256,0.008811942529824708,0.014591401225808005,0.6675603345321236,0.9522221316809824,2.0488190362255035e-15,0.9951880136348764,4.312883184368223e-06,0.02,1.2845808267593384,1.2862743139266968,1.1914985179901123,1.173517823219299,0.0964709164068608,0.19064678217838457,0.10956750950595771,0.1443714999638651,0.08966570151376702,0.11611524889141486,0.0972412936574148,0.16675028737375588,0.09912126684017264
dna-bolinas-mix-v0.9-p1B-i20-exp135-zoonomia-m1,exp135-zoonomia-m1,v0.9,finished,0.9999661933739012,1920,1120767360,62033756160,424112225,8192,29580,256,0.004200088067572318,0.004243669637421541,0.6675603345321236,0.9522221316809824,7.0446437048299336e-15,0.9951880136348764,4.312883184368223e-06,0.02,1.1345375776290894,1.0104835033416748,0.9075010418891908,0.8073378205299377,0.37626355932421385,0.30962003358572143,0.4062394940948915,0.36881294097290174,0.375787481540164,0.6456063309962071,0.31813848298286684,0.31911860194535246,0.32329761818856856
dna-bolinas-mix-v0.9-p1B-i26-exp135-zoonomia-m1.1,exp135-zoonomia-m1.1,v0.9,finished,0.9999812185410563,1920,1120767360,62033756160,763402006,8192,53244,256,0.004200088067572318,0.004243669637421541,0.6675603345321236,0.9522221316809824,7.0446437048299336e-15,0.9951880136348764,4.312883184368223e-06,0.02,1.093739628791809,0.9206785559654236,0.8568231463432312,0.7291705012321472,0.4241438220889017,0.3396529710049769,0.4456001349117646,0.37878823612763846,0.4324561351226908,0.6545570204532088,0.35473949512743197,0.37838778091698205,0.3977908506945286
dna-bolinas-mix-v0.9-p1B-i28-exp135-zoonomia-m1.2,exp135-zoonomia-m1.2,v0.9,finished,0.9999859139057922,1920,1120767360,62033756160,1017869341,8192,70992,256,0.004200088067572318,0.004243669637421541,0.6675603345321236,0.9522221316809824,7.0446437048299336e-15,0.9951880136348764,4.312883184368223e-06,0.02,1.071907877922058,0.8694099187850952,0.833013653755188,0.6943424344062805,0.4509667244242499,0.3801374139514066,0.4549952176861621,0.3801450685547135,0.4681063945548906,0.6262796052625276,0.37471500146298786,0.40071727682730945,0.4096976162841232
