# Extraction from https://openathena.ai/marin-dna/leaderboards/mendelian (2026-06-04)
Model,Macro Avg (8 subsets),Global,Missense,Splicing,5' UTR,Promoter,ncRNA,3' UTR,Distal,Synonymous
GPN-Star (M),53.8,47.9,63.1,62.6,43.6,49.6,65.7,50.1,48.4,47.2
GPN-Star (V),50.0,48.3,68.1,52.9,46.0,46.7,58.4,40.7,50.6,36.8
GPN-Star (P),44.5,39.2,51.3,53.3,35.4,40.0,59.7,38.8,49.1,28.0
phyloP (447m),40.1,33.2,36.2,42.0,33.4,44.4,45.6,44.5,40.9,34.0
AlphaGenome,40.1,34.3,11.7,52.3,37.7,56.4,31.2,47.6,37.0,46.7
exp135-1B-m5.1,39.5,40.0,43.7,47.8,42.6,28.0,42.8,44.6,34.0,32.7
Evo 2 (40B),38.2,35.5,35.6,60.9,37.9,34.9,35.7,39.1,19.5,42.2
phyloP (100v),37.7,33.5,42.6,39.6,41.2,37.8,43.6,27.1,43.1,26.6
Evo 2 (7B),34.5,35.2,39.2,65.4,40.7,23.6,13.3,32.1,17.4,44.6
exp166-v0.1-p4B,33.9,29.7,26.9,46.8,28.8,28.6,39.7,19.5,40.5,40.4
Evo 2 (1B base),33.4,37.3,49.1,67.5,23.9,14.9,10.7,37.7,15.8,47.7
mix-v0.9-p1B-upstre,33.0,37.9,44.9,53.0,42.3,20.3,14.7,44.0,10.7,34.1
mix-v0.9-p1B-uniform,32.5,36.9,43.7,53.4,41.1,17.9,13.9,44.7,10.9,34.5
exp13-mixture-equal,32.0,39.3,47.4,54.9,43.7,28.8,15.7,20.6,9.1,35.5
exp166-v0.1-p1B,31.6,27.3,28.4,42.8,28.0,16.7,33.1,19.3,42.4,41.7
