lineage,fork,parent_mix,child_mix,fork_step,fork_tokens_b,cooldown_end_step,end_tokens_b,continued_step,metric,pre_cooldown,post_cooldown,continued_peak,delta_cooldown,delta_continued,continued_partially_cooled,continued_cooldown_fraction
m1,m1->m1.1,exp135-zoonomia-m1,exp135-zoonomia-m1.1,23664,49.627004928,29579,62.031659008,29580,eval_loss,1.1685339212417603,1.1345375776290894,1.158037543296814,-0.0339963436126709,-0.010496377944946289,False,0.0
m1,m1->m1.1,exp135-zoonomia-m1,exp135-zoonomia-m1.1,23664,49.627004928,29579,62.031659008,29580,macro_avg,0.34892812911613935,0.3833276230383342,0.36716561834545514,0.034399493922194824,0.018237489229315784,False,0.0
m1,m1->m1.1,exp135-zoonomia-m1,exp135-zoonomia-m1.1,23664,49.627004928,29579,62.031659008,29580,missense_variant,0.3219909839676422,0.375787481540164,0.3445556024564946,0.053796497572521806,0.022564618488852384,False,0.0
m1,m1->m1.1,exp135-zoonomia-m1,exp135-zoonomia-m1.1,23664,49.627004928,29579,62.031659008,29580,tss_proximal,0.3208175444756381,0.3232976181885685,0.3307605284570515,0.0024800737129304085,0.009942983981413411,False,0.0
m1,m1->m1.1,exp135-zoonomia-m1,exp135-zoonomia-m1.1,23664,49.627004928,29579,62.031659008,29580,5_prime_UTR_variant,0.3591269549527607,0.4062394940948915,0.3772933003841565,0.047112539142130816,0.01816634543139578,False,0.0
m1,m1->m1.1,exp135-zoonomia-m1,exp135-zoonomia-m1.1,23664,49.627004928,29579,62.031659008,29580,3_prime_UTR_variant,0.243753961360017,0.3096200335857214,0.2753111412249961,0.06586607222570437,0.03155717986497911,False,0.0
m1,m1->m1.1,exp135-zoonomia-m1,exp135-zoonomia-m1.1,23664,49.627004928,29579,62.031659008,29580,splicing,0.2991240248724316,0.3181384829828668,0.3110392284390813,0.019014458110435173,0.011915203566649657,False,0.0
m1,m1->m1.1,exp135-zoonomia-m1,exp135-zoonomia-m1.1,23664,49.627004928,29579,62.031659008,29580,synonymous_variant,0.2672165168029336,0.3191186019453524,0.3295072569475833,0.051902085142418786,0.06229074014464969,False,0.0
m1,m1->m1.1,exp135-zoonomia-m1,exp135-zoonomia-m1.1,23664,49.627004928,29579,62.031659008,29580,distal,0.3339085419006131,0.3688129409729017,0.3326749476180688,0.034904399072288594,-0.0012335942825442703,False,0.0
m1,m1->m1.1,exp135-zoonomia-m1,exp135-zoonomia-m1.1,23664,49.627004928,29579,62.031659008,29580,non_coding_transcript_exon_variant,0.6454865045970783,0.6456063309962071,0.6361829412362089,0.00011982639912877513,-0.00930356336086946,False,0.0
m1,m1.1->m1.2,exp135-zoonomia-m1.1,exp135-zoonomia-m1.2,41412,86.847258624,53243,111.658663936,53244,eval_loss,1.1436171531677246,1.093739628791809,1.1320374011993408,-0.04987752437591553,-0.011579751968383789,False,0.0
m1,m1.1->m1.2,exp135-zoonomia-m1.1,exp135-zoonomia-m1.2,41412,86.847258624,53243,111.658663936,53244,macro_avg,0.3759013794382141,0.42274657804490273,0.3922207142242319,0.04684519860668862,0.01631933478601777,False,0.0
